day_begin;day_end;begin_time;end_time;begin_time_seconds;end_time_seconds;activity_name;activity_number
2;2;13:14:06;13:23:38;134046;134618;Toileting;7
2;2;13:25:27;13:38:03;134727;135483;Cell use;17
2;2;13:39:14;13:43:30;135554;135810;Washing hand/face;4
2;2;13:45:12;13:53:24;135912;136404;Make coffee;13
2;2;13:54:28;13:58:26;136468;136706;Washing hand/face;4
2;2;14:00:09;14:39:31;136809;139171;Watching TV;19
2;2;14:40:47;16:50:32;139247;147032;Sleep;24
2;2;16:52:45;16:58:05;147165;147485;Washing hand/face;4
2;2;16:59:10;17:05:30;147550;147930;Make coffee;13
2;2;17:06:35;18:01:52;147995;151312;Watching TV;19
2;2;18:03:24;18:15:41;151404;152141;Wash dish;12
2;2;18:17:12;19:15:31;152232;155731;Reading;35
2;2;19:17:28;19:54:41;155848;158081;Make hot food;16
2;2;19:54:41;20:54:41;158081;161681;Eating;1
2;2;20:56:45;21:00:31;161805;162031;Move dish;34
2;2;21:02:26;21:05:26;162146;162326;Washing hand/face;4
2;2;21:06:51;21:14:09;162411;162849;Make coffee;13
2;2;21:15:28;21:20:49;162928;163249;Move dish;34
2;2;21:21:51;21:25:23;163311;163523;Washing hand/face;4
2;2;21:26:32;21:33:14;163592;163994;Make coffee;13
2;2;21:34:26;21:51:49;164066;165109;Cell use;17
2;2;21:53:44;22:00:05;165224;165605;Change clothes;2
2;2;22:01:28;22:07:25;165688;166045;Change clothes;2
2;3;22:08:30;04:26:47;166110;188807;Sleep;24
3;3;04:29:20;04:36:28;188960;189388;Toileting;7
3;3;04:38:07;04:43:09;189487;189789;Washing hand/face;4
3;3;04:45:06;07:59:57;189906;201597;Sleep;24
3;3;08:02:11;08:07:47;201731;202067;Toileting;7
3;3;08:11:33;08:16:32;202293;202592;Washing hand/face;4
3;3;08:17:53;08:26:12;202673;203172;Make coffee;13
3;3;08:28:03;08:37:13;203283;203833;Change clothes;2
3;3;08:38:50;08:46:45;203930;204405;Toileting;7
3;3;08:48:37;09:01:16;204517;205276;Washing (take shower);3
3;3;09:02:55;09:06:50;205375;205610;Hair dray;5
3;3;09:08:07;09:15:11;205687;206111;Make sandwich;15
3;3;09:16:57;09:45:08;206217;207908;Eating;1
3;3;09:47:19;09:51:24;208039;208284;Washing hand/face;4
3;3;09:52:55;09:59:36;208375;208776;Toileting;7
3;3;10:00:49;10:06:32;208849;209192;Washing hand/face;4
3;3;10:08:00;11:05:22;209280;212722;Watching TV;19
3;3;11:06:25;11:58:47;212785;215927;Make hot food;16
3;3;12:00:21;12:24:02;216021;217442;Watching TV;19
3;3;12:25:20;12:31:00;217520;217860;Make coffee;13
3;3;12:32:54;12:38:15;217974;218295;Toileting;7
3;3;12:39:18;12:43:38;218358;218618;Washing hand/face;4
3;3;12:45:32;13:21:26;218732;220886;Eating;1
3;3;13:21:26;13:25:48;220886;221148;Washing hand/face;4
3;3;13:27:08;13:31:02;221228;221462;Move dish;34
3;3;13:32:40;13:38:07;221560;221887;Toileting;7
3;3;13:39:54;13:45:37;221994;222337;Washing hand/face;4
3;3;13:46:57;14:12:50;222417;223970;Watching TV;19
3;3;14:13:51;14:15:57;224031;224157;Take M.;18
3;3;14:17:17;16:35:23;224237;232523;Sleep;24
3;3;16:37:51;16:46:23;232671;233183;Toileting;7
3;3;16:47:40;16:52:45;233260;233565;Washing hand/face;4
3;3;16:54:09;16:59:27;233649;233967;Make coffee;13
3;3;17:00:47;17:22:56;234047;235376;Cell use;17
3;3;17:24:18;18:03:44;235458;237824;Watching TV;19
3;3;18:05:17;18:12:43;237917;238363;Change clothes;2
3;3;18:15:31;20:59:35;238531;248375;Go out;33
3;3;21:01:39;21:39:37;248499;250777;Watching TV;19
3;3;21:41:34;22:32:05;250894;253925;Make hot food;16
3;3;22:33:09;22:41:46;253989;254506;Change clothes;2
3;4;22:42:53;05:16:39;254573;278199;Sleep;24
4;4;05:19:18;05:28:03;278358;278883;Toileting;7
4;4;05:29:47;08:29:32;278987;289772;Sleep;24
4;4;08:33:46;08:44:38;290026;290678;Washing (take shower);3
4;4;08:47:00;08:55:26;290820;291326;Make coffee;13
4;4;08:57:13;09:01:19;291433;291679;Washing hand/face;4
4;4;09:02:24;09:11:16;291744;292276;Toileting;7
4;4;09:12:39;09:17:18;292359;292638;Washing hand/face;4
4;4;09:18:27;09:27:22;292707;293242;Change clothes;2
4;4;09:28:27;09:32:40;293307;293560;Washing hand/face;4
4;4;09:33:53;09:42:09;293633;294129;Make sandwich;15
4;4;09:43:32;10:04:57;294212;295497;Eating;1
4;4;10:07:22;10:10:55;295642;295855;Washing hand/face;4
4;4;10:12:17;11:07:32;295937;299252;Watching TV;19
4;4;11:08:54;11:56:02;299334;302162;Make hot food;16
4;4;11:57:59;12:01:47;302279;302507;Washing hand/face;4
4;4;12:03:00;12:07:07;302580;302827;Move dish;34
4;4;12:08:45;12:44:10;302925;305050;Eating;1
4;4;12:44:10;12:48:13;305050;305293;Washing hand/face;4
4;4;12:49:36;12:57:44;305376;305864;Make coffee;13
4;4;12:59:39;13:05:03;305979;306303;Washing hand/face;4
4;4;13:06:52;13:20:42;306412;307242;Cell use;17
4;4;13:22:17;13:25:21;307337;307521;Take M.;18
4;4;13:26:36;13:33:51;307596;308031;Toileting;7
4;4;13:35:39;13:41:36;308139;308496;Washing hand/face;4
4;4;13:42:40;13:48:29;308560;308909;Move dish;34
4;4;13:50:16;13:54:52;309016;309292;Washing hand/face;4
4;4;13:56:46;14:29:17;309406;311357;Watching TV;19
4;4;14:30:21;16:36:53;311421;319013;Sleep;24
4;4;16:37:58;16:41:17;319078;319277;Washing hand/face;4
4;4;16:43:13;16:49:59;319393;319799;Make coffee;13
4;4;16:51:58;17:01:42;319918;320502;Toileting;7
4;4;17:03:02;19:01:59;320582;327719;Watching TV;19
4;4;19:03:19;19:53:11;327799;330791;Make hot food;16
4;4;19:53:11;20:53:11;330791;334391;Eating;1
4;4;20:55:36;21:00:24;334536;334824;Move dish;34
4;4;21:01:59;21:14:45;334919;335685;Wash dish;12
4;4;21:16:16;21:21:41;335776;336101;Toileting;7
4;4;21:23:41;21:27:45;336221;336465;Washing hand/face;4
4;4;21:29:06;22:25:42;336546;339942;Reading;35
4;4;22:26:56;22:34:00;340016;340440;Change clothes;2
4;5;22:35:08;03:49:16;340508;359356;Sleep;24
5;5;03:52:03;04:00:31;359523;360031;Toileting;7
5;5;04:02:22;08:32:04;360142;376324;Sleep;24
5;5;08:35:50;08:40:57;376550;376857;Washing hand/face;4
5;5;08:42:10;08:48:31;376930;377311;Make coffee;13
5;5;08:50:00;08:54:52;377400;377692;Washing hand/face;4
5;5;08:56:03;09:05:12;377763;378312;Toileting;7
5;5;09:08:04;09:19:09;378484;379149;Washing (take shower);3
5;5;09:21:15;09:28:42;379275;379722;Change clothes;2
5;5;09:31:28;09:35:24;379888;380124;Washing hand/face;4
5;5;09:37:13;09:44:39;380233;380679;Make sandwich;15
5;5;09:45:47;10:09:41;380747;382181;Eating;1
5;5;10:12:36;11:04:00;382356;385440;Watching TV;19
5;5;11:05:21;11:45:59;385521;387959;Laundry;11
5;5;11:47:43;12:20:39;388063;390039;Vacuuming;10
5;5;12:22:04;13:04:01;390124;392641;Make hot food;16
5;5;13:05:51;13:32:18;392751;394338;Watching TV;19
5;5;13:34:17;13:42:02;394457;394922;Make coffee;13
5;5;13:43:39;13:57:15;395019;395835;Cell use;17
5;5;13:58:40;14:28:31;395920;397711;Watching TV;19
5;5;14:30:29;14:43:46;397829;398626;Cell use;17
5;5;14:45:30;15:24:35;398730;401075;Watching TV;19
5;5;15:25:56;16:15:49;401156;404149;Eating;1
5;5;16:18:03;16:21:28;404283;404488;Take M.;18
5;5;16:22:47;18:40:30;404567;412830;Sleep;24
5;5;18:41:50;19:16:07;412910;414967;Watching TV;19
5;5;19:17:34;19:23:46;415054;415426;Toileting;7
5;5;19:25:37;19:29:28;415537;415768;Washing hand/face;4
5;5;19:30:36;20:25:42;415836;419142;Make hot food;16
5;5;20:25:42;21:25:42;419142;422742;Eating;1
5;5;21:28:12;21:32:40;422892;423160;Move dish;34
5;5;21:34:01;21:46:16;423241;423976;Wash dish;12
5;5;21:47:19;22:46:30;424039;427590;Reading;35
5;5;22:47:36;22:55:56;427656;428156;Change clothes;2
5;6;22:57:37;04:24:16;428257;447856;Sleep;24
6;6;04:27:05;04:32:11;448025;448331;Toileting;7
6;6;04:34:09;08:47:16;448449;463636;Sleep;24
6;6;08:50:30;08:54:18;463830;464058;Washing hand/face;4
6;6;08:55:38;09:01:24;464138;464484;Toileting;7
6;6;09:02:31;09:08:10;464551;464890;Washing hand/face;4
6;6;09:09:34;09:20:02;464974;465602;Washing (take shower);3
6;6;09:22:46;09:31:44;465766;466304;Make coffee;13
6;6;09:33:25;09:39:06;466405;466746;Washing hand/face;4
6;6;09:40:09;09:46:08;466809;467168;Change clothes;2
6;6;09:47:12;09:52:58;467232;467578;Washing hand/face;4
6;6;09:54:31;10:02:06;467671;468126;Make sandwich;15
6;6;10:03:32;10:28:27;468212;469707;Eating;1
6;6;10:31:20;10:34:32;469880;470072;Washing hand/face;4
6;6;10:36:22;10:50:19;470182;471019;Cell use;17
6;6;10:52:08;11:48:43;471128;474523;Watching TV;19
6;6;11:50:11;12:25:54;474611;476754;Make hot food;16
6;6;12:27:48;12:32:35;476868;477155;Washing hand/face;4
6;6;12:34:12;13:28:47;477252;480527;Eating;1
6;6;13:30:59;13:33:53;480659;480833;Take M.;18
6;6;13:35:51;13:43:57;480951;481437;Make coffee;13
6;6;13:45:40;14:12:36;481540;483156;Watching TV;19
6;6;14:13:52;16:30:34;483232;491434;Sleep;24
6;6;16:32:41;16:37:46;491561;491866;Washing hand/face;4
6;6;16:39:36;16:48:15;491976;492495;Make coffee;13
6;6;16:49:42;16:56:38;492582;492998;Toileting;7
6;6;16:58:22;17:02:39;493102;493359;Washing hand/face;4
6;6;17:04:00;18:59:04;493440;500344;Watching TV;19
6;6;19:00:46;19:34:03;500446;502443;Make hot food;16
6;6;19:34:03;20:34:03;502443;506043;Eating;1
6;6;20:36:17;22:21:22;506177;512482;Watching TV;19
6;6;22:22:22;22:31:41;512542;513101;Change clothes;2
6;7;22:33:21;04:33:24;513201;534804;Sleep;24
7;7;04:35:58;04:41:35;534958;535295;Toileting;7
7;7;04:43:11;04:46:21;535391;535581;Washing hand/face;4
7;7;04:47:30;08:17:45;535650;548265;Sleep;24
7;7;08:20:58;08:36:10;548458;549370;Washing (take shower);3
7;7;08:37:16;08:42:54;549436;549774;Hair dray;5
7;7;08:44:25;08:50:08;549865;550208;Toileting;7
7;7;08:51:54;08:57:27;550314;550647;Washing hand/face;4
7;7;08:58:43;09:04:13;550723;551053;Change clothes;2
7;7;09:06:48;09:12:05;551208;551525;Washing hand/face;4
7;7;09:13:36;09:19:27;551616;551967;Make coffee;13
7;7;09:20:53;09:26:43;552053;552403;Washing hand/face;4
7;7;09:27:54;09:36:48;552474;553008;Make sandwich;15
7;7;09:38:48;10:06:49;553128;554809;Eating;1
7;7;10:09:33;10:14:03;554973;555243;Washing hand/face;4
7;7;10:15:24;11:47:36;555324;560856;Go out;33
7;7;11:48:54;12:46:12;560934;564372;Make hot food;16
7;7;12:47:38;12:52:53;564458;564773;Washing hand/face;4
7;7;12:54:50;13:47:45;564890;568065;Eating;1
7;7;13:49:56;13:52:56;568196;568376;Take M.;18
7;7;13:54:56;14:04:12;568496;569052;Make coffee;13
7;7;14:05:41;16:26:03;569141;577563;Sleep;24
7;7;16:28:55;16:36:19;577735;578179;Toileting;7
7;7;16:37:43;16:42:50;578263;578570;Washing hand/face;4
7;7;16:44:35;16:54:34;578675;579274;Make coffee;13
7;7;16:56:06;17:25:23;579366;581123;Cell use;17
7;7;17:26:26;18:01:04;581186;583264;Watching TV;19
7;7;18:02:39;18:10:18;583359;583818;Toileting;7
7;7;18:11:50;18:16:08;583910;584168;Washing hand/face;4
7;7;18:17:51;18:48:21;584271;586101;Make hot food;16
7;7;18:48:21;19:48:21;586101;589701;Eating;1
7;7;19:50:43;19:59:02;589843;590342;Toileting;7
7;7;20:00:19;20:03:55;590419;590635;Washing hand/face;4
7;7;20:05:23;20:19:25;590723;591565;Cell use;17
7;7;20:20:49;21:16:09;591649;594969;Reading;35
7;7;21:17:56;23:45:50;595076;603950;Go out;33
7;7;23:47:14;23:56:44;604034;604604;Change clothes;2
7;8;23:58:04;06:21:16;604684;627676;Sleep;24
8;8;06:23:58;06:30:51;627838;628251;Toileting;7
8;8;06:32:48;06:37:26;628368;628646;Washing hand/face;4
8;8;06:38:45;09:46:37;628725;639997;Sleep;24
8;8;09:50:10;09:53:12;640210;640392;Washing hand/face;4
8;8;09:54:51;10:04:52;640491;641092;Washing (take shower);3
8;8;10:07:05;10:14:21;641225;641661;Toileting;7
8;8;10:15:22;10:20:33;641722;642033;Washing hand/face;4
8;8;10:22:20;10:29:31;642140;642571;Change clothes;2
8;8;10:30:34;10:33:43;642634;642823;Washing hand/face;4
8;8;10:35:34;10:45:23;642934;643523;Make coffee;13
8;8;10:47:09;10:51:12;643629;643872;Washing hand/face;4
8;8;10:53:11;10:58:49;643991;644329;Make sandwich;15
8;8;10:59:50;11:25:54;644390;645954;Eating;1
8;8;11:26:57;12:09:10;646017;648550;Make hot food;16
8;8;12:11:43;12:15:49;648703;648949;Move dish;34
8;8;12:17:15;13:15:56;649035;652556;Eating;1
8;8;13:18:24;13:22:07;652704;652927;Take M.;18
8;8;13:23:48;13:29:44;653028;653384;Washing hand/face;4
8;8;13:31:39;13:39:42;653499;653982;Make coffee;13
8;8;13:40:54;13:46:10;654054;654370;Move dish;34
8;8;13:47:54;13:53:19;654474;654799;Washing hand/face;4
8;8;13:55:09;14:06:43;654909;655603;Cell use;17
8;8;14:07:57;16:26:30;655677;663990;Sleep;24
8;8;16:29:10;16:38:39;664150;664719;Make coffee;13
8;8;16:40:14;16:49:30;664814;665370;Toileting;7
8;8;16:51:23;16:55:36;665483;665736;Washing hand/face;4
8;8;16:57:21;17:03:07;665841;666187;Toileting;7
8;8;17:04:11;18:28:43;666251;671323;Watching TV;19
8;8;18:30:02;18:37:03;671402;671823;Make up;6
8;8;18:39:26;21:16:01;671966;681361;Go out;33
8;8;21:17:12;21:20:29;681432;681629;Washing hand/face;4
8;8;21:22:15;21:28:25;681735;682105;Toileting;7
8;8;21:30:07;21:35:35;682207;682535;Washing hand/face;4
8;8;21:36:53;21:49:59;682613;683399;Cell use;17
8;8;21:51:19;22:05:29;683479;684329;Wash dish;12
8;8;22:06:53;22:14:40;684413;684880;Change clothes;2
8;9;22:16:21;03:12:26;684981;702746;Sleep;24
9;9;03:14:49;03:22:31;702889;703351;Toileting;7
9;9;03:24:16;03:30:12;703456;703812;Washing hand/face;4
9;9;03:31:44;08:06:25;703904;720385;Sleep;24
9;9;08:10:39;08:30:32;720639;721832;Washing (take shower);3
9;9;08:31:57;08:33:57;721917;722037;Hair dray;5
9;9;08:35:09;08:41:15;722109;722475;Change clothes;2
9;9;08:42:21;08:51:05;722541;723065;Toileting;7
9;9;08:52:55;08:57:34;723175;723454;Washing hand/face;4
9;9;08:58:55;09:06:39;723535;723999;Make coffee;13
9;9;09:08:27;09:13:41;724107;724421;Washing hand/face;4
9;9;09:15:02;09:20:16;724502;724816;Make sandwich;15
9;9;09:21:40;09:45:00;724900;726300;Eating;1
9;9;09:47:56;09:52:59;726476;726779;Washing hand/face;4
9;9;09:54:25;10:52:38;726865;730358;Reading;35
9;9;10:54:15;11:03:15;730455;730995;Toileting;7
9;9;11:04:22;12:02:20;731062;734540;Make hot food;16
9;9;12:04:10;12:35:38;734650;736538;Watching TV;19
9;9;12:36:58;12:39:25;736618;736765;Take M.;18
9;9;12:41:00;12:50:09;736860;737409;Toileting;7
9;9;12:51:33;12:57:08;737493;737828;Washing hand/face;4
9;9;12:59:07;13:05:08;737947;738308;Make coffee;13
9;9;13:06:49;13:31:48;738409;739908;Watching TV;19
9;9;13:33:24;13:42:24;740004;740544;Toileting;7
9;9;13:44:13;13:49:44;740653;740984;Washing hand/face;4
9;9;13:51:10;14:38:20;741070;743900;Eating;1
9;9;14:39:41;17:01:57;743981;752517;Sleep;24
9;9;17:03:20;18:08:21;752600;756501;Watching TV;19
9;9;18:10:18;18:23:10;756618;757390;Wash dish;12
9;9;18:24:27;19:13:07;757467;760387;Reading;35
9;9;19:15:05;19:47:40;760505;762460;Make hot food;16
9;9;19:47:40;20:47:40;762460;766060;Eating;1
9;9;20:50:33;20:54:52;766233;766492;Move dish;34
9;9;20:56:43;21:00:18;766603;766818;Washing hand/face;4
9;9;21:00:57;21:07:38;766857;767258;Make up;6
9;9;21:10:37;23:20:10;767437;775210;Go out;33
9;9;23:21:17;23:29:48;775277;775788;Change clothes;2
9;10;23:31:46;07:25:07;775906;804307;Sleep;24
10;10;07:27:59;07:35:00;804479;804900;Toileting;7
10;10;07:36:59;07:41:40;805019;805300;Washing hand/face;4
10;10;07:43:23;09:27:18;805403;811638;Sleep;24
10;10;09:30:49;09:44:46;811849;812686;Washing (take shower);3
10;10;09:46:10;09:50:48;812770;813048;Hair dray;5
10;10;09:52:48;10:01:04;813168;813664;Make coffee;13
10;10;10:02:03;10:10:08;813723;814208;Toileting;7
10;10;10:12:06;10:16:43;814326;814603;Washing hand/face;4
10;10;10:17:47;10:27:14;814667;815234;Change clothes;2
10;10;10:28:28;10:31:49;815308;815509;Washing hand/face;4
10;10;10:33:41;10:38:52;815621;815932;Make sandwich;15
10;10;10:40:52;11:05:59;816052;817559;Eating;1
10;10;11:07:25;11:39:31;817645;819571;Make hot food;16
10;10;11:42:26;11:47:08;819746;820028;Move dish;34
10;10;11:48:28;12:40:05;820108;823205;Eating;1
10;10;12:40:05;12:45:51;823205;823551;Washing hand/face;4
10;10;12:47:50;12:52:22;823670;823942;Move dish;34
10;10;12:53:49;13:22:20;824029;825740;Watching TV;19
10;10;13:23:32;13:29:02;825812;826142;Washing hand/face;4
10;10;13:30:34;13:48:51;826234;827331;Cell use;17
10;10;13:50:24;13:56:28;827424;827788;Make coffee;13
10;10;13:57:37;14:18:40;827857;829120;Watching TV;19
10;10;14:20:17;14:32:29;829217;829949;Cell use;17
10;10;14:34:07;14:41:54;830047;830514;Toileting;7
10;10;14:43:04;14:46:04;830584;830764;Washing hand/face;4
10;10;14:47:19;15:24:00;830839;833040;Watching TV;19
10;10;15:25:38;15:27:38;833138;833258;Take M.;18
10;10;15:28:49;17:55:57;833329;842157;Sleep;24
10;10;17:57:17;19:01:23;842237;846083;Watching TV;19
10;10;19:02:38;19:49:47;846158;848987;Make hot food;16
10;10;19:51:38;19:55:29;849098;849329;Move dish;34
10;10;19:56:50;20:11:46;849410;850306;Wash dish;12
10;10;20:13:01;21:56:02;850381;856562;Watching TV;19
10;10;21:57:34;22:06:34;856654;857194;Change clothes;2
10;11;22:08:42;00:34:58;857322;866098;Go out;33
11;11;00:36:09;00:43:33;866169;866613;Change clothes;2
11;11;00:44:42;08:21:59;866682;894119;Sleep;24
11;11;08:25:52;08:31:40;894352;894700;Washing hand/face;4
11;11;08:33:21;08:40:41;894801;895241;Make coffee;13
11;11;08:42:15;08:48:30;895335;895710;Change clothes;2
11;11;08:50:25;08:59:51;895825;896391;Toileting;7
11;11;09:01:47;09:13:34;896507;897214;Washing (take shower);3
11;11;09:15:12;09:20:51;897312;897651;Hair dray;5
11;11;09:22:22;09:32:19;897742;898339;Make sandwich;15
11;11;09:33:43;10:00:41;898423;900041;Eating;1
11;11;10:03:26;10:07:42;900206;900462;Washing hand/face;4
11;11;10:09:05;10:48:39;900545;902919;Reading;35
11;11;10:50:22;11:32:46;903022;905566;Watching TV;19
11;11;11:33:49;12:25:51;905629;908751;Make hot food;16
11;11;12:26:55;12:38:07;908815;909487;Cell use;17
11;11;12:39:37;12:42:41;909577;909761;Move dish;34
11;11;12:43:49;13:40:37;909829;913237;Eating;1
11;11;13:43:11;13:46:10;913391;913570;Take M.;18
11;11;13:48:04;13:51:56;913684;913916;Washing hand/face;4
11;11;13:53:25;14:00:15;914005;914415;Toileting;7
11;11;14:01:35;16:29:44;914495;923384;Sleep;24
11;11;16:31:18;16:37:20;923478;923840;Toileting;7
11;11;16:38:22;16:44:00;923902;924240;Washing hand/face;4
11;11;16:45:12;16:52:48;924312;924768;Make coffee;13
11;11;16:54:40;16:59:00;924880;925140;Washing hand/face;4
11;11;17:00:27;17:05:41;925227;925541;Toileting;7
11;11;17:07:03;17:40:28;925623;927628;Watching TV;19
11;11;17:42:13;18:40:20;927733;931220;Reading;35
11;11;18:41:34;18:47:52;931294;931672;Make coffee;13
11;11;18:49:52;18:53:56;931792;932036;Move dish;34
11;11;18:55:03;19:08:02;932103;932882;Wash dish;12
11;11;19:09:46;19:13:33;932986;933213;Washing hand/face;4
11;11;19:15:00;20:42:36;933300;938556;Watching TV;19
11;11;20:44:03;20:52:19;938643;939139;Change clothes;2
11;11;20:54:37;23:18:46;939277;947926;Go out;33
11;11;23:20:13;23:28:43;948013;948523;Change clothes;2
11;12;23:30:29;04:40:18;948629;967218;Sleep;24
12;12;04:42:18;04:49:10;967338;967750;Toileting;7
12;12;04:50:28;09:15:01;967828;983701;Sleep;24
12;12;09:18:08;09:32:06;983888;984726;Washing (take shower);3
12;12;09:33:40;09:37:38;984820;985058;Hair dray;5
12;12;09:39:37;09:45:32;985177;985532;Toileting;7
12;12;09:46:52;09:52:07;985612;985927;Washing hand/face;4
12;12;09:53:17;10:03:03;985997;986583;Make coffee;13
12;12;10:04:18;10:09:02;986658;986942;Washing hand/face;4
12;12;10:10:29;10:17:03;987029;987423;Change clothes;2
12;12;10:19:27;10:25:06;987567;987906;Washing hand/face;4
12;12;10:26:45;10:35:16;988005;988516;Make sandwich;15
12;12;10:36:57;11:02:38;988617;990158;Eating;1
12;12;11:05:16;11:09:21;990316;990561;Washing hand/face;4
12;12;11:10:43;11:40:05;990643;992405;Vacuuming;10
12;12;11:42:00;12:29:56;992520;995396;Laundry;11
12;12;12:31:06;13:18:19;995466;998299;Make hot food;16
12;12;13:19:35;13:24:19;998375;998659;Washing hand/face;4
12;12;13:25:23;13:54:12;998723;1000452;Watching TV;19
12;12;13:55:46;14:41:57;1000546;1003317;Eating;1
12;12;14:44:11;14:48:57;1003451;1003737;Move dish;34
12;12;14:50:37;15:04:09;1003837;1004649;Cell use;17
12;12;15:05:24;15:15:10;1004724;1005310;Toileting;7
12;12;15:16:20;15:20:25;1005380;1005625;Washing hand/face;4
12;12;15:22:07;15:39:08;1005727;1006748;Cell use;17
12;12;15:41:02;15:47:38;1006862;1007258;Toileting;7
12;12;15:48:56;15:52:19;1007336;1007539;Washing hand/face;4
12;12;15:54:18;16:31:32;1007658;1009892;Watching TV;19
12;12;16:32:51;16:38:48;1009971;1010328;Washing hand/face;4
12;12;16:39:58;17:18:02;1010398;1012682;Watching TV;19
12;12;17:19:46;17:23:12;1012786;1012992;Take M.;18
12;12;17:24:16;19:37:38;1013056;1021058;Sleep;24
12;12;19:38:53;20:56:38;1021133;1025798;Watching TV;19
12;12;20:58:19;21:16:23;1025899;1026983;Cell use;17
12;12;21:18:20;21:28:40;1027100;1027720;Wash dish;12
12;12;21:29:57;21:37:21;1027797;1028241;Toileting;7
12;12;21:38:33;21:43:22;1028313;1028602;Washing hand/face;4
12;12;21:45:15;21:50:55;1028715;1029055;Toileting;7
12;12;21:52:53;21:56:21;1029173;1029381;Washing hand/face;4
12;12;21:57:30;22:35:34;1029450;1031734;Watching TV;19
12;12;22:37:24;23:31:06;1031844;1035066;Make hot food;16
12;13;23:31:06;00:31:06;1035066;1038666;Eating;1
13;13;00:32:35;00:40:07;1038755;1039207;Change clothes;2
13;13;00:41:54;05:38:38;1039314;1057118;Sleep;24
13;13;05:41:06;05:49:12;1057266;1057752;Toileting;7
13;13;05:50:19;05:53:41;1057819;1058021;Washing hand/face;4
13;13;05:55:25;10:34:51;1058125;1074891;Sleep;24
