******************************************************************
*    One-Year Scenario of Activities - Elderly in the SMAF Profile: P1  *
*    Coded version - 28/03/2015		                                   * 
*    Format : 										   *
*    <starting time> <end time> <action/activity code>		   *
*												   *
*    eHealth Monitoring Open Data Project					   *
*    https://sourceforge.net/projects/ehealthmonitoringproject/     *
640491 641092 3
641225 641661 7
641722 642033 4
642140 642571 2
642634 642823 4
642934 643523 13
643629 643872 4
643991 644329 15
644390 645954 1
646017 648550 16
648703 648949 34
649035 652556 1
652704 652927 18
653028 653384 4
653499 653982 13
654054 654370 34
654474 654799 4
654909 655603 17
655677 663990 24
664150 664719 13
664814 665370 7
665483 665736 4
665841 666187 7
666251 671323 19
671402 671823 6
671966 681361 33
681432 681629 4
681735 682105 7
682207 682535 4
682613 683399 17
683479 684329 12
684413 684880 2
684981 702746 24
702889 703351 7
703456 703812 4
703904 720385 24
720639 721832 3
721917 722037 5
722109 722475 2
722541 723065 7
723175 723454 4
723535 723999 13
724107 724421 4
724502 724816 15
724900 726300 1
726476 726779 4
726865 730358 35
730455 730995 7
731062 734540 16
734650 736538 19
736618 736765 18
736860 737409 7
737493 737828 4
737947 738308 13
738409 739908 19
740004 740544 7
740653 740984 4
741070 743900 1
743981 752517 24
752600 756501 19
756618 757390 12
757467 760387 35
760505 762460 16
762460 766060 1
766233 766492 34
766603 766818 4
766857 767258 6
767437 775210 33
775277 775788 2
775906 804307 24
804479 804900 7
805019 805300 4
805403 811638 24
811849 812686 3
812770 813048 5
813168 813664 13
813723 814208 7
814326 814603 4
814667 815234 2
815308 815509 4
815621 815932 15
816052 817559 1
817645 819571 16
819746 820028 34
820108 823205 1
823205 823551 4
823670 823942 34
824029 825740 19
825812 826142 4
826234 827331 17
827424 827788 13
827857 829120 19
829217 829949 17
830047 830514 7
830584 830764 4
830839 833040 19
833138 833258 18
833329 842157 24
842237 846083 19
846158 848987 16
849098 849329 34
849410 850306 12
850381 856562 19
856654 857194 2
857322 866098 33
866169 866613 2
866682 894119 24
894352 894700 4
894801 895241 13
895335 895710 2
895825 896391 7
896507 897214 3
897312 897651 5
897742 898339 15
898423 900041 1
900206 900462 4
900545 902919 35
903022 905566 19
905629 908751 16
908815 909487 17
909577 909761 34
909829 913237 1
913391 913570 18
913684 913916 4
914005 914415 7
914495 923384 24
923478 923840 7
923902 924240 4
924312 924768 13
924880 925140 4
925227 925541 7
925623 927628 19
927733 931220 35
931294 931672 13
931792 932036 34
932103 932882 12
932986 933213 4
933300 938556 19
938643 939139 2
939277 947926 33
948013 948523 2
948629 967218 24
967338 967750 7
967828 983701 24
983888 984726 3
984820 985058 5
985177 985532 7
985612 985927 4
985997 986583 13
986658 986942 4
987029 987423 2
987567 987906 4
988005 988516 15
988617 990158 1
990316 990561 4
990643 992405 10
992520 995396 11
995466 998299 16
998375 998659 4
998723 1000452 19
1000546 1003317 1
1003451 1003737 34
1003837 1004649 17
1004724 1005310 7
1005380 1005625 4
1005727 1006748 17
1006862 1007258 7
1007336 1007539 4
1007658 1009892 19
1009971 1010328 4
1010398 1012682 19
1012786 1012992 18
1013056 1021058 24
1021133 1025798 19
1025899 1026983 17
1027100 1027720 12
1027797 1028241 7
1028313 1028602 4
1028715 1029055 7
1029173 1029381 4
1029450 1031734 19
1031844 1035066 16
1035066 1038666 1
1038755 1039207 2
1039314 1057118 24
1057266 1057752 7
1057819 1058021 4
1058125 1074891 24
1075120 1075751 3
1075856 1076053 5
1076126 1076708 2
1076800 1077020 4
1077084 1077630 7
1077744 1078047 4
1078166 1078476 13
1078541 1078840 4
1078916 1079416 15
1079516 1080896 1
1080972 1082775 16
1082919 1083153 34
1083241 1083396 18
1083491 1083699 4
1083794 1086111 1
1086282 1086525 34
1086642 1088089 19
1088172 1096480 24
1096612 1097123 13
1097206 1098108 17
1098169 1102518 19
1102595 1105327 16
1105327 1108927 1
1109099 1109317 34
1109430 1109656 4
1109753 1111851 35
1111950 1121117 33
1121185 1121497 2
1121579 1145101 24
1145233 1145760 7
1145848 1146057 4
1146146 1156929 24
1157135 1158280 3
1158402 1158999 7
1159089 1159406 4
1159508 1159946 13
1160026 1160237 4
1160352 1160720 2
1160859 1161054 4
1161118 1161546 15
1161630 1162897 1
1163054 1163412 4
1163493 1163873 2
1163944 1164251 6
1164326 1171290 33
1171366 1174811 16
1174966 1175167 34
1175263 1175489 18
1175585 1175906 13
1176005 1176204 34
1176288 1176483 4
1176558 1178766 1
1178847 1187404 24
1187480 1192269 19
1192388 1195330 16
1195330 1198930 1
1199107 1199539 7
1199642 1199944 4
1200020 1206505 19
1206582 1207021 2
1207127 1230943 24
1231073 1231503 7
1231586 1242402 24
1242615 1243642 3
1243746 1244091 5
1244205 1244570 2
1244635 1245075 13
1245103 1245457 7
1245528 1245832 4
1245892 1246355 15
1246470 1248177 1
1248342 1249012 17
1249082 1249631 14
1249719 1251824 16
1251967 1252216 34
1252328 1255463 1
1255626 1255859 18
1255934 1256229 4
1256340 1258018 19
1258128 1258492 7
1258591 1258776 4
1258866 1259196 34
1259312 1259862 7
1259935 1260209 4
1260281 1268343 24
1268476 1270210 17
1270296 1270828 7
1270910 1275102 19
1275167 1275706 2
1275828 1285033 33
1285160 1285525 13
1285593 1288980 35
1289068 1289372 2
1289442 1311621 24
1311743 1312323 7
1312405 1312701 4
1312773 1324830 24
1325083 1325340 4
1325443 1326392 3
1326494 1326615 5
1326731 1327033 13
1327107 1327683 15
1327749 1329110 1
1329278 1329609 14
1329682 1333143 19
1333254 1333632 13
1333703 1336870 35
1336931 1339887 16
1339970 1340334 7
1340403 1340671 4
1340742 1343415 1
1343543 1343855 34
1343917 1344185 4
1344252 1344566 34
1344662 1344932 4
1345018 1345341 7
1345435 1345729 4
1345825 1346267 13
1346356 1346557 18
1346646 1354006 24
1354137 1354711 7
1354789 1354978 4
1355084 1355469 13
1355549 1355811 4
1355929 1357283 17
1357347 1362486 19
1362605 1363291 12
1363383 1364099 17
1364162 1366294 16
1366294 1369894 1
1370039 1370241 4
1370316 1373898 35
1373971 1374471 7
1374568 1374759 4
1374829 1375198 13
1375312 1381396 19
1381467 1382017 2
1382114 1402189 24
1402314 1402717 7
1402805 1417511 24
1417712 1418590 3
1418661 1418928 5
1419023 1419576 7
1419662 1419869 4
1419977 1420365 13
1420475 1421028 2
1421117 1421309 4
1421428 1421773 15
1421865 1423109 1
1423178 1426589 16
1426709 1427004 34
1427079 1427398 13
1427464 1427909 7
1427992 1428332 4
1428409 1430296 1
1430430 1430554 18
1430614 1432547 19
1432622 1433118 7
1433188 1440575 24
1440655 1441220 7
1441331 1441648 4
1441746 1443199 17
1443278 1443737 13
1443823 1445918 19
1446004 1446575 13
1446694 1447645 17
1447733 1456896 33
1456994 1457347 4
1457436 1460665 16
1460665 1461015 4
1461106 1463501 19
1463577 1464084 2
1464191 1484337 24
1484475 1484793 7
1484858 1499767 24
1499948 1500167 4
1500266 1500721 7
1500793 1500989 4
1501049 1501530 2
1501608 1501922 4
1501998 1502452 13
1502571 1503547 3
1503627 1503811 5
1503893 1504381 15
1504441 1505968 1
1506043 1506357 7
1506420 1506657 4
1506775 1509631 19
1509714 1512824 16
1512924 1514087 17
1514171 1514672 13
1514740 1514913 18
1515004 1516793 19
1516868 1519474 1
1519553 1528030 24
1528202 1528913 17
1528983 1529574 13
1529648 1529969 7
1530078 1530272 4
1530343 1532856 19
1532920 1533431 2
1533528 1533739 4
1533829 1536141 16
1536141 1539741 1
1539899 1541739 19
1541805 1542215 2
1542296 1542671 6
1542816 1552320 33
1552404 1552785 2
1552889 1579185 24
1579309 1579792 7
1579859 1580056 4
1580165 1588802 24
1588985 1589856 3
1589990 1590510 7
1590595 1590872 4
1590939 1591534 13
1591630 1592175 2
1592341 1592686 4
1592754 1593340 15
1593411 1594999 1
1595124 1595423 4
1595542 1597389 10
1597491 1599923 11
1599994 1603041 16
1603148 1604103 17
1604214 1604582 7
1604702 1604933 4
1605033 1605882 17
1605999 1606585 13
1606668 1607916 19
1608029 1608516 7
1608594 1608787 4
1608861 1611284 1
1611414 1611622 34
1611692 1611986 4
1612093 1613610 19
1613697 1613936 4
1614020 1614268 34
1614332 1614549 4
1614634 1616488 19
1616553 1616817 4
1616880 1617103 18
1617175 1625094 24
1625164 1629963 19
1630045 1630450 6
1630610 1641382 33
1641470 1641875 2
1641990 1660547 24
1660722 1661049 7
1661135 1677298 24
1677563 1677821 4
1677913 1678312 13
1678415 1678990 2
1679057 1679625 7
1679687 1680590 3
1680673 1680863 5
1680975 1681460 15
1681539 1683017 1
1683080 1685908 16
1685995 1686279 4
1686342 1688684 1
1688838 1688987 18
1689097 1689357 34
1689452 1690933 19
1691008 1691595 13
1691686 1692041 4
1692120 1700426 24
1700555 1701128 7
1701202 1701458 4
1701545 1702033 13
1702116 1702678 7
1702762 1703035 4
1703097 1706146 19
1706212 1706779 2
1706889 1711428 19
1711517 1711997 2
1712116 1712414 4
1712526 1712905 13
1712985 1716479 35
1716570 1716852 34
1716958 1717746 17
1717809 1723999 19
1724082 1724839 12
1724923 1727811 35
1727891 1730473 19
1730556 1730937 6
1731095 1741174 33
1741240 1741809 2
1741901 1770268 24
1770516 1770851 4
1770931 1771483 2
1771606 1771926 4
1772006 1772416 7
1772481 1773517 3
1773594 1773872 5
1773969 1774384 13
1774495 1774766 4
1774857 1775273 15
1775355 1776794 1
1776944 1777910 17
1778005 1778538 2
1778630 1785516 33
1785605 1787970 16
1788047 1789265 19
1789345 1791695 1
1791695 1791955 4
1792056 1792262 18
1792336 1801191 24
1801281 1808117 19
1808231 1808647 13
1808741 1809849 17
1809949 1810430 6
1810569 1818963 33
1819029 1819359 2
1819440 1841555 24
1841677 1842190 7
1842302 1842503 4
1842589 1855462 24
1855706 1856042 4
1856107 1856520 7
1856582 1856903 4
1857012 1857364 2
1857477 1858004 13
1858068 1858278 4
1858375 1859099 3
1859175 1859312 5
1859422 1859959 15
1860052 1861484 1
1861569 1864441 16
1864560 1866706 19
1866795 1867020 18
1867092 1867540 7
1867650 1867878 4
1867986 1868491 13
1868565 1870338 19
1870412 1870630 34
1870737 1873134 1
1873212 1880743 24
1880806 1884274 19
1884389 1884970 2
1885066 1887103 19
1887194 1888046 12
1888121 1888692 13
1888786 1889127 34
1889207 1889498 4
1889581 1892393 19
1892496 1895510 16
1895510 1895789 4
1895855 1900435 19
1900546 1904029 35
1904111 1904349 34
1904467 1908067 1
1908138 1908541 2
1908644 1934569 24
1934801 1934989 4
1935089 1935569 13
1935600 1936117 7
1936179 1936511 4
1936613 1937150 2
1937265 1937549 4
1937648 1938837 3
1938927 1939189 5
1939265 1939845 15
1939911 1941259 1
1941347 1944011 16
1944178 1944361 34
1944462 1945022 7
1945120 1945320 4
1945382 1947982 1
1948119 1948299 18
1948415 1948764 4
1948824 1949395 7
1949459 1949818 4
1949906 1951811 19
1951885 1960079 24
1960209 1960417 4
1960509 1960948 13
1961068 1962835 17
1962917 1965797 19
1965868 1966341 2
1966423 1967405 17
1967480 1967712 34
1967804 1971404 1
1971571 1972002 7
1972121 1972425 4
1972491 1975908 35
1975975 1981181 19
1981252 1981648 2
1981726 2004873 24
2005011 2005561 7
2005625 2016918 24
2017115 2018010 3
2018127 2018430 5
2018546 2019138 7
2019252 2019432 4
2019501 2019895 2
2019994 2020237 4
2020342 2020652 13
2020755 2020969 4
2021034 2021474 15
2021578 2023325 1
2023476 2023755 4
2023833 2026716 19
2026815 2027325 7
2027399 2029483 16
2029579 2029817 4
2029884 2031385 19
2031484 2031800 34
2031863 2032287 13
2032355 2034314 19
2034424 2034755 4
2034839 2038370 1
2038370 2038638 4
2038744 2040106 19
2040195 2041092 17
2041171 2041744 7
2041849 2042062 4
2042162 2042744 7
2042814 2043073 4
2043167 2043290 18
2043374 2051066 24
2051151 2056669 19
2056752 2058670 16
2058770 2058991 34
2059065 2062665 1
2062814 2063158 4
2063255 2063733 13
2063809 2064663 17
2064779 2073670 33
2073739 2074171 2
2074248 2090646 24
2090796 2091122 7
2091191 2091400 4
2091500 2109625 24
2109830 2110152 4
2110218 2110760 2
2110847 2111123 4
2111222 2111580 13
2111652 2112499 3
2112675 2113131 7
2113222 2113463 4
2113570 2114167 15
2114235 2115714 1
2115796 2118808 16
2118973 2119264 34
2119344 2122648 1
2122773 2122997 18
2123067 2123368 13
2123450 2125101 19
2125174 2133303 24
2133420 2133722 7
2133800 2134114 4
2134216 2134757 13
2134824 2136213 17
2136296 2141887 19
2141949 2144100 16
2144100 2147700 1
2147879 2150795 19
2150892 2153138 35
2153214 2153728 2
2153795 2176110 24
2176249 2176841 7
2176958 2189213 24
2189402 2189761 4
2189854 2190233 2
2190359 2190906 13
2190998 2192121 3
2192236 2192388 5
2192472 2192951 7
2193044 2193365 4
2193433 2193821 15
2193889 2195226 1
2195386 2195625 4
2195718 2198580 11
2198643 2200530 10
2200620 2203073 16
2203189 2203567 7
2203638 2203976 4
2204087 2207339 1
2207518 2207668 18
2207777 2209575 19
2209641 2209845 34
2209906 2210943 17
2211027 2218436 24
2218538 2219070 7
2219179 2219390 4
2219506 2220335 17
2220428 2220610 4
2220725 2222171 17
2222238 2227220 19
2227334 2227623 34
2227733 2228501 12
2228576 2232709 19
2232773 2233577 17
2233652 2237252 1
2237386 2237728 7
2237837 2238085 4
2238201 2240769 16
2240847 2241438 2
2241538 2260470 24
2260608 2260997 7
2261087 2261304 4
2261374 2276914 24
2277163 2278267 3
2278429 2278873 13
2278985 2279288 2
2279365 2279675 15
2279764 2281497 1
2281664 2281875 4
2281950 2283897 19
2283998 2287523 35
2287613 2290376 16
2290525 2290865 34
2290933 2294066 1
2294210 2294402 18
2294485 2294675 4
2294766 2295089 13
2295162 2296459 19
2296573 2297325 17
2297392 2305016 24
2305160 2305724 13
2305824 2306951 17
2307070 2307657 7
2307727 2310366 19
2310459 2311068 12
2311182 2313877 35
2313980 2317580 1
2317710 2318787 17
2318856 2319205 34
2319266 2319488 4
2319590 2321867 16
2321967 2322232 34
2322318 2322626 4
2322721 2328162 19
2328240 2328700 2
2328779 2349385 24
2349565 2349945 7
2350013 2350199 4
2350293 2364095 24
2364279 2365185 3
2365281 2365522 5
2365623 2366019 13
2366114 2366297 4
2366407 2366808 7
2366916 2367121 4
2367214 2367581 2
2367706 2367892 4
2368004 2368304 15
2368403 2369850 1
2369993 2370254 4
2370340 2370672 2
2370765 2371055 4
2371130 2374237 19
2374327 2381334 33
2381417 2384108 16
2384208 2386582 19
2386694 2389516 1
2389694 2389915 18
2389977 2397678 24
2397750 2402935 19
2403020 2403328 34
2403414 2404395 17
2404507 2404713 34
2404810 2408410 1
2408552 2408793 4
2408863 2409387 13
2409500 2411743 19
2411854 2414466 16
2414544 2414950 2
2415045 2438252 24
2438399 2438964 7
2439061 2450560 24
2450809 2451677 3
2451742 2452102 5
2452196 2452539 13
2452624 2452853 4
2452948 2453455 2
2453545 2453973 7
2454078 2454401 4
2454494 2454991 15
2455064 2456853 1
2457029 2457381 4
2457444 2457824 13
2457931 2460818 19
2460887 2463467 16
2463625 2463854 34
2463967 2466081 1
2466212 2466410 34
2466523 2467783 19
2467902 2468634 17
2468738 2469219 7
2469334 2469515 4
2469614 2469976 7
2470056 2470347 4
2470417 2470913 13
2470997 2472673 19
2472747 2473916 17
2474005 2474265 4
2474326 2476472 19
2476589 2476805 18
2476878 2484241 24
2484329 2488172 19
2488280 2491528 16
2491528 2495128 1
2495279 2496167 17
2496238 2496622 7
2496734 2497002 4
2497097 2499950 19
2500012 2500331 2
2500422 2516984 24
2517139 2517533 7
2517617 2517837 4
2517920 2535588 24
2535812 2536452 3
2536541 2536820 5
2536891 2537479 13
2537594 2537890 4
2537953 2538258 7
2538350 2538557 4
2538676 2539025 2
2539116 2539405 4
2539469 2539808 15
2539873 2541485 1
2541614 2545006 19
2545087 2545458 7
2545548 2548872 16
2548986 2551122 19
2551201 2551410 18
2551487 2553092 19
2553154 2553459 34
2553568 2555761 1
2555935 2556171 34
2556239 2563451 24
2563630 2564151 7
2564247 2564568 4
2564663 2565224 13
2565299 2565702 7
2565766 2566020 4
2566103 2567325 17
2567388 2574097 19
2574180 2574678 2
2574808 2583871 33
2584033 2584681 17
2584770 2588982 19
2589057 2589407 2
2589520 2614639 24
2614813 2615141 7
2615258 2624430 24
2624626 2624841 4
2624919 2625430 2
2625548 2625940 7
2626033 2626355 4
2626441 2626832 15
2626950 2628284 1
2628417 2628646 4
2628766 2629913 17
2630009 2630333 14
2630447 2633081 19
2633153 2635141 16
2635261 2637275 19
2637374 2637851 7
2637949 2638220 4
2638316 2638611 34
2638723 2638971 4
2639062 2639880 17
2639981 2640349 7
2640468 2640623 18
2640730 2641053 34
2641162 2641423 4
2641491 2643307 19
2643399 2643648 4
2643767 2644348 13
2644413 2646110 19
2646230 2646504 4
2646570 2650112 1
2650191 2657672 24
2657744 2664310 19
2664403 2666999 16
2666999 2670599 1
2670753 2671008 34
2671086 2671581 13
2671650 2672027 2
2672135 2694296 24
2694430 2694761 7
2694880 2695078 4
2695139 2707932 24
2708181 2708436 4
2708538 2708862 2
2708951 2709285 4
2709352 2709834 13
2709878 2710338 7
2710438 2711511 3
2711625 2711771 5
2711858 2712204 15
2712266 2713536 1
2713702 2714044 4
2714144 2714690 13
2714802 2717311 35
2717397 2719490 19
2719559 2722585 16
2722762 2723050 34
2723134 2723259 18
2723321 2723880 7
2723946 2724151 4
2724224 2727586 1
2727727 2727976 34
2728068 2728308 4
2728384 2730705 19
2730777 2739207 24
2739270 2739852 7
2739928 2745352 19
2745457 2749023 16
2749023 2752623 1
2752752 2752991 34
2753109 2753928 12
2753998 2754811 17
2754920 2763286 33
2763360 2763862 2
2763930 2778611 24
2778744 2779179 7
2779298 2799463 24
2799710 2800063 4
2800180 2800751 7
2800855 2801066 4
2801147 2801567 2
2801744 2802070 13
2802180 2802501 4
2802569 2803299 3
2803396 2803612 5
2803708 2804081 15
2804185 2805720 1
2805876 2806089 4
2806198 2808906 11
2808990 2811061 10
2811126 2813842 16
2813911 2815186 19
2815273 2815800 7
2815914 2816134 4
2816219 2819770 1
2819943 2820129 18
2820199 2829019 24
2829095 2833395 19
2833477 2837025 16
2837025 2840625 1
2840795 2841131 4
2841228 2844504 19
2844586 2845032 2
2845123 2868127 24
2868269 2868658 7
2868776 2869068 4
2869187 2880965 24
2881198 2881390 4
2881471 2882026 13
2882115 2882929 3
2883104 2883615 7
2883733 2884043 4
2884156 2884474 2
2884553 2884768 4
2884884 2885350 15
2885448 2887116 1
2887188 2887760 7
2887880 2888128 4
2888232 2888626 13
2888739 2889755 17
2889840 2893108 35
2893192 2895641 16
2895778 2895988 34
2896063 2897866 1
2898026 2898225 18
2898336 2899581 19
2899675 2900689 17
2900765 2900957 34
2901047 2901478 7
2901554 2901857 4
2901941 2910411 24
2910590 2911028 7
2911104 2911402 4
2911480 2911962 13
2912080 2913608 17
2913686 2917911 19
2917984 2918494 2
2918592 2921996 35
2922097 2925697 1
2925866 2930002 19
2930118 2930535 2
2930613 2930985 2
2931067 2952397 24
2952537 2952917 7
2952991 2953344 4
2953420 2966491 24
2966693 2966950 4
2967047 2967405 13
2967524 2968213 3
2968287 2968507 5
2968593 2968991 7
2969091 2969280 4
2969357 2969783 2
2969906 2970246 4
2970360 2970664 15
2970753 2972187 1
2972359 2973558 17
2973670 2974062 2
2974171 2974992 17
2975057 2978058 19
2978136 2984144 33
2984226 2987800 16
2987865 2989630 19
2989722 2990407 17
2990526 2990849 4
2990930 2991148 34
2991229 2991488 4
2991598 2991848 34
2991925 2992158 4
2992219 2995671 1
2995805 2995985 18
2996069 3003953 24
3004020 3009722 19
3009824 3012739 16
3012739 3016339 1
3016494 3019222 19
3019288 3019633 2
3019694 3040879 24
3041026 3041375 7
3041484 3054576 24
3054784 3055038 4
3055122 3055625 7
3055706 3056703 3
3056771 3056997 5
3057091 3057564 13
3057642 3057925 4
3058000 3058581 2
3058673 3058967 4
3059085 3059432 15
3059517 3060851 1
3060987 3061265 4
3061361 3061670 7
3061750 3062100 4
3062186 3062684 14
3062752 3064726 19
3064795 3068078 16
3068150 3069338 17
3069448 3069910 7
3069970 3070291 4
3070368 3073722 1
3073859 3074056 18
3074126 3074537 7
3074613 3083481 24
3083559 3083860 7
3083975 3084276 4
3084394 3084730 13
3084812 3085253 7
3085315 3088897 19
3088972 3089556 6
3089670 3093460 19
3093577 3095546 16
3095546 3099146 1
3099294 3100420 17
3100497 3100994 13
3101108 3102237 17
3102345 3102922 7
3103012 3103297 4
3103385 3103735 2
3103811 3130170 24
3130307 3130774 7
3130859 3131086 4
3131169 3139097 24
3139254 3139751 7
3139974 3140185 4
3140259 3140669 7
3140763 3141830 3
3141897 3142171 5
3142248 3142770 2
3142844 3143213 13
3143310 3143552 4
3143638 3143983 15
3144087 3145340 1
3145478 3145731 4
3145843 3146867 17
3146928 3147299 7
3147415 3147655 4
3147721 3148750 17
3148857 3152353 19
3152414 3155655 16
3155732 3155920 4
3156034 3156247 18
3156328 3156542 34
3156617 3158456 1
3158594 3158919 34
3158999 3159515 7
3159612 3159812 4
3159916 3160312 7
3160402 3160603 4
3160703 3162361 19
3162443 3170397 24
3170527 3170761 4
3170856 3171251 13
3171370 3171569 4
3171684 3172096 7
3172186 3176921 19
3176992 3179180 16
3179180 3182780 1
3182957 3183501 7
3183562 3183803 4
3183869 3184460 13
3184530 3189068 19
3189131 3189541 13
3189661 3190392 12
3190473 3190778 2
3190892 3205960 24
3206114 3206516 7
3206630 3226377 24
3226580 3226803 4
3226918 3227452 13
3227489 3227850 7
3227951 3228295 4
3228380 3228961 2
3229058 3229288 4
3229374 3230441 3
3230502 3230745 5
3230830 3231356 15
3231462 3233209 1
3233341 3233534 4
3233627 3234613 17
3234700 3236793 19
3236876 3240446 16
3240556 3240895 4
3240984 3244114 1
3244283 3244559 34
3244640 3244919 4
3245029 3246131 17
3246197 3246530 34
3246633 3246820 4
3246926 3247880 17
3247999 3248377 13
3248473 3250008 19
3250109 3250435 4
3250552 3252944 19
3253030 3253432 7
3253538 3253854 4
3253927 3255521 19
3255585 3256037 7
3256131 3256316 4
3256422 3256549 18
3256636 3265016 24
3265104 3269848 19
3269913 3270339 7
3270450 3270807 4
3270888 3278083 19
3278166 3278797 12
3278866 3279279 7
3279381 3279605 4
3279685 3282151 16
3282151 3285751 1
3285820 3286249 2
3286365 3312807 24
3313039 3314158 3
3314221 3314571 5
3314635 3315229 13
3315346 3315698 2
3315811 3316366 7
3316432 3316725 4
3316828 3317193 15
3317260 3318794 1
3318939 3319264 14
3319362 3321387 19
3321476 3323773 35
3323842 3326842 16
3326929 3327327 7
3327388 3327668 4
3327757 3327996 34
3328065 3328389 13
3328477 3328685 18
3328777 3330225 19
3330309 3330568 4
3330684 3330919 34
3331013 3331939 17
3332046 3333890 19
3333972 3336557 1
3336636 3344100 24
3344208 3344524 7
3344588 3348497 19
3348577 3349434 12
