dia;dia_semana;fim_semana;BedToToilet_freq;Eating_freq;MealPreparation_freq;Relax_freq;Sleeping_freq;BedToToilet_dur;Eating_dur;MealPreparation_dur;Relax_dur;Sleeping_dur;BedToToilet_dfreq;Eating_dfreq;MealPreparation_dfreq;Relax_dfreq;Sleeping_dfreq
35;5;1;1,0;3,0;6,0;15,0;2,0;147,0;1899,0;1500,0;28622,0;33677,0;147;633;250;1908;16838
36;6;1;1,0;1,0;5,0;10,0;2,0;152,0;245,0;1851,0;20177,0;20292,0;152;245;370;2017;10146
37;1;0;1,0;2,0;9,0;14,0;2,0;201,0;2412,0;4000,0;22826,0;27497,0;201;1206;444;1630;13748
38;2;0;1,0;1,0;4,0;10,0;3,0;155,0;400,0;1500,0;14279,0;57998,0;155;400;375;1427;19332
39;4;0;1,0;1,0;9,0;16,0;2,0;203,0;325,0;4000,0;28470,0;27871,0;203;325;444;1779;13935
40;5;1;1,0;1,0;6,0;14,0;3,0;193,0;851,0;2636,0;32430,0;53772,0;193;851;439;2316;17924
41;6;1;1,0;1,0;7,0;12,0;1,0;194,0;414,0;4000,0;27058,0;9017,0;194;414;571;2254;9017
42;1;0;1,0;2,0;9,0;17,0;2,0;209,0;893,0;2702,0;25743,0;30816,0;209;446;300;1514;15408
43;4;0;1,0;3,0;8,0;15,0;1,0;158,0;1210,0;3070,0;29361,0;9563,0;158;403;383;1957;9563
44;0;0;1,0;1,0;7,0;17,0;2,0;249,0;2662,0;3405,0;28075,0;27683,0;249;2662;486;1651;13841
45;1;0;2,0;2,0;9,0;14,0;2,0;180,0;770,0;4000,0;18748,0;28413,0;90;385;444;1339;14206
46;2;0;1,0;2,0;9,0;11,0;2,0;131,0;396,0;2160,0;20074,0;31196,0;131;198;240;1824;15598
47;5;1;1,0;1,0;8,0;17,0;3,0;203,0;222,0;2136,0;24724,0;47526,0;203;222;267;1454;15842
48;1;0;1,0;1,0;9,0;9,0;3,0;167,0;1153,0;2348,0;14000,0;38805,0;167;1153;260;1555;12935
49;2;0;1,0;3,0;5,0;14,0;1,0;258,0;3095,0;1500,0;27610,0;14310,0;258;1031;300;1972;14310
50;4;0;1,0;1,0;7,0;10,0;3,0;200,0;477,0;2392,0;16335,0;49330,0;200;477;341;1633;16443
51;0;0;1,0;3,0;7,0;16,0;1,0;139,0;712,0;3863,0;30725,0;7371,0;139;237;551;1920;7371
52;2;0;1,0;1,0;9,0;15,0;3,0;106,0;285,0;4000,0;21719,0;47466,0;106;285;444;1447;15822
53;0;0;1,0;1,0;7,0;15,0;2,0;139,0;2222,0;4000,0;23314,0;26086,0;139;2222;571;1554;13043
54;1;0;1,0;1,0;7,0;11,0;2,0;133,0;285,0;1500,0;22892,0;28484,0;133;285;214;2081;14242
55;4;0;1,0;4,0;9,0;16,0;1,0;188,0;1239,6951219512196;4000,0;15463,0;8331,0;188;309;444;966;8331
56;5;1;1,0;1,0;4,0;9,0;2,0;176,0;249,0;1500,0;20205,0;21505,0;176;249;375;2245;10752
